"date_time","hosts_throughput_limit"
"2024-04-30 18:49:24.671364","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 6719.58189672061}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 16882.383471905992}]"
"2024-04-30 18:49:30.944938","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 6921.169353622228}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 17388.854976063172}]"
"2024-04-30 18:49:37.85053","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 7128.804434230895}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 17910.520625345067}]"
"2024-04-30 18:49:43.681859","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 7342.668567257821}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 18447.83624410542}]"
"2024-04-30 18:50:02.798411","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 7562.948624275556}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 19001.271331428583}]"
"2024-04-30 18:50:27.947239","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 7789.837083003822}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 19571.30947137144}]"
"2024-04-30 18:50:34.235625","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 8023.532195493936}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 20158.448755512585}]"
"2024-04-30 18:50:47.172298","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 8264.238161358755}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 20763.20221817796}]"
"2024-04-30 18:50:59.615625","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 8512.165306199518}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 21386.0982847233}]"
"2024-04-30 11:46:46.503233","[{""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15000}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 5000}]"
